h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,733,1976260.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976261.0,1976262.0,1976262.0
d,734,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0,1978429.0
d,735,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0,1981408.0
d,736,1984588.0,1984588.0,1984589.0,1984589.0,1984589.0,1984589.0,1984589.0,1984590.0,1984590.0,1984590.0,1984590.0,1984590.0,1984590.0,1984590.0,1984590.0
d,737,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0,1986918.0
d,738,1989926.0,1989926.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989927.0,1989928.0,1989928.0,1989928.0
d,739,1992372.0,1992372.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992373.0,1992374.0
d,740,1995321.0,1995321.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0,1995322.0
d,741,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0,1998506.0
d,742,2001003.0,2001003.0,2001004.0,2001004.0,2001007.0,2001007.0,2001007.0,2001007.0,2001007.0,2001007.0,2001008.0,2001008.0,2001008.0,2001008.0,2001008.0
d,743,2004017.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0,2004018.0
d,744,2006582.0,2006582.0,2006582.0,2006582.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0,2006583.0
d,745,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0,2009624.0
d,746,2012043.0,2012043.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012044.0,2012045.0,2012045.0
d,747,2014938.0,2014938.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0,2014939.0
